Name,Symbol,Price,Img,1hr%,24hr%,7d%,MarketCap,Volume(24h),Vol(24h),CirculatingSupply,Last7Days
Bitcoin,BTC,"$105,599.70",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,0.12%,0.55%,1.10%,$2.1T,"$38,526,249,686",365.02K BTC,19.87M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1.svg
Ethereum,ETH,"$2,515.81",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,0.07%,0.52%,0.65%,$303.23B,"$12,031,457,482",4.78M ETH,120.72M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1027.svg
Tether,USDT,$1.00,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,0.00%,0.02%,0.02%,$154.54B,"$53,890,611,300",53.86B USDT,154.46B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/825.svg
XRP,XRP,$2.17,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,0.28%,0.14%,0.60%,$127.93B,"$1,324,153,827",608.84M XRP,58.82B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/52.svg
BNB,BNB,$649.93,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,0.12%,0.43%,0.97%,$91.57B,"$1,462,545,764",2.25M BNB,140.88M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1839.svg
Solana,SOL,$150.38,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,0.37%,0.13%,3.45%,$78.92B,"$1,963,184,115",13.05M SOL,524.81M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5426.svg
USDC,USDC,$0.9998,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,0.00%,0.01%,0.00%,$61.1B,"$6,372,215,019",6.37B USDC,61.1B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3408.svg
Dogecoin,DOGE,$0.1823,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,0.76%,1.22%,4.90%,$27.27B,"$796,589,223",4.36B DOGE,149.58B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/74.svg
TRON,TRX,$0.2818,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,0.05%,1.44%,6.16%,$26.74B,"$363,274,508",1.28B TRX,94.85B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1958.svg
Cardano,ADA,$0.6627,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,0.07%,0.40%,2.92%,$23.42B,"$419,951,673",633.61M ADA,35.34B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2010.svg
Hyperliquid,HYPE,$34.66,https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,0.46%,0.80%,6.37%,$11.58B,"$156,499,621",4.52M HYPE,333.92M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/32196.svg
Sui,SUI,$3.21,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,0.36%,1.26%,0.89%,$10.92B,"$711,182,239",221.13M SUI,3.39B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/20947.svg
Chainlink,LINK,$13.77,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,0.22%,1.51%,1.58%,$9.05B,"$241,004,521",17.49M LINK,657.09M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1975.svg
Avalanche,AVAX,$20.71,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,0.02%,5.40%,0.05%,$8.74B,"$291,903,433",14.09M AVAX,421.75M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5805.svg
UNUS SED LEO,LEO,$9.11,https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,0.77%,1.05%,5.82%,$8.42B,"$3,571,102",391.69K LEO,923.28M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3957.svg
Stellar,XLM,$0.2657,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,0.56%,0.56%,0.14%,$8.29B,"$84,583,883",318.30M XLM,31.18B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/512.svg
Bitcoin Cash,BCH,$408.91,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,0.24%,2.63%,2.29%,$8.13B,"$301,558,739",737.46K BCH,19.88M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1831.svg
Toncoin,TON,$3.18,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,0.27%,1.14%,1.98%,$7.85B,"$154,705,772",48.65M TON,2.46B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11419.svg
Shiba Inu,SHIB,$0.00001267,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,0.30%,0.95%,0.14%,$7.47B,"$100,492,646",7.92T SHIB,589.24T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5994.svg
Hedera,HBAR,$0.1691,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,0.39%,1.68%,0.78%,$7.15B,"$91,091,752",539.32M HBAR,42.23B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4642.svg
Litecoin,LTC,$88.41,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,0.48%,1.78%,1.31%,$6.71B,"$280,873,762",3.17M LTC,75.94M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2.svg
Polkadot,DOT,$4.02,https://s2.coinmarketcap.com/static/cloud/img/logo/polkadot/Polkadot_Logo_Animation_64x64.gif,0.00%,2.07%,1.55%,$6.37B,"$119,242,995",29.73M DOT,1.58B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6636.svg
Monero,XMR,$323.18,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,0.19%,0.77%,0.09%,$5.96B,"$75,089,886",232.34K XMR,18.44M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/328.svg
Ethena USDe,USDe,$1.00,https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,0.01%,0.01%,0.02%,$5.89B,"$62,289,475",62.21M USDe,5.87B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/29470.svg
Bitget Token,BGB,$4.66,https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,0.06%,0.85%,1.16%,$5.46B,"$37,424,951",8.03M BGB,1.16B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11092.svg
Dai,DAI,$1.00,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,0.01%,0.03%,0.03%,$5.37B,"$18,220,828,469",18.22B DAI,5.36B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4943.svg
Pepe,PEPE,$0.00001134,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,0.47%,1.72%,2.39%,$4.77B,"$590,853,927",52.06T PEPE,420.68T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/24478.svg
Pi,PI,$0.6493,https://s2.coinmarketcap.com/static/img/coins/64x64/35697.png,3.72%,4.22%,0.20%,$4.79B,"$50,267,296",78.25M PI,7.37B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/35697.svg
Uniswap,UNI,$6.25,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,0.17%,2.76%,2.26%,$3.93B,"$214,300,433",34.31M UNI,628.68M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7083.svg
Aave,AAVE,$257.13,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,0.15%,1.74%,2.17%,$3.9B,"$204,338,085",796.73K AAVE,15.15M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7278.svg
Bittensor,TAO,$379.53,https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,0.47%,0.89%,9.02%,$3.34B,"$69,515,534",183.67K TAO,8.8M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/22974.svg
OKB,OKB,$52.07,https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,0.01%,2.30%,3.41%,$3.12B,"$6,095,286",117.04K OKB,60M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3897.svg
Aptos,APT,$4.70,https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,0.04%,1.54%,0.29%,$2.97B,"$67,735,103",14.44M APT,631.19M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/21794.svg
NEAR Protocol,NEAR,$2.41,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,0.23%,3.30%,0.10%,$2.95B,"$95,540,041",39.59M NEAR,1.22B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6535.svg
Cronos,CRO,$0.09773,https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,0.26%,0.22%,8.70%,$2.92B,"$18,449,284",188.76M CRO,29.88B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3635.svg
Internet Computer,ICP,$5.11,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,0.14%,2.95%,5.42%,$2.73B,"$50,077,148",9.81M ICP,534.07M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8916.svg
Ethereum Classic,ETC,$17.16,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,0.28%,1.79%,1.10%,$2.61B,"$69,166,540",4.03M ETC,152.22M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1321.svg
Ondo,ONDO,$0.8279,https://s2.coinmarketcap.com/static/img/coins/64x64/21159.png,0.21%,2.51%,0.26%,$2.62B,"$61,026,024",73.91M ONDO,3.15B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/21159.svg
Kaspa,KAS,$0.08730,https://s2.coinmarketcap.com/static/img/coins/64x64/20396.png,0.57%,2.06%,2.89%,$2.29B,"$33,228,891",382.39M KAS,26.28B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/20396.svg
