Name,Symbol,Price,Img,1hr%,24hr%,7d%,MarketCap,Volume(24h),Vol(24h),CirculatingSupply,Last7Days
Bitcoin,BTC,"$105,536.85",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,0.21%,1.41%,1.29%,$2.1T,"$43,709,126,067",414.47K BTC,19.87M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1.svg
Ethereum,ETH,"$2,506.56",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,0.40%,0.75%,1.29%,$301.61B,"$14,077,977,536",5.63M ETH,120.72M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1027.svg
Tether,USDT,$1.00,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,0.02%,0.00%,0.04%,$154.58B,"$62,022,867,185",61.97B USDT,154.46B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/825.svg
XRP,XRP,$2.18,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,0.00%,1.11%,1.00%,$128.64B,"$1,593,712,295",728.75M XRP,58.82B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/52.svg
BNB,BNB,$649.76,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,0.14%,0.05%,1.36%,$91.54B,"$1,524,571,314",2.34M BNB,140.88M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1839.svg
Solana,SOL,$151.67,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,0.06%,0.02%,2.64%,$79.6B,"$2,284,880,100",15.06M SOL,524.81M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5426.svg
USDC,USDC,$0.9998,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,0.00%,0.01%,0.00%,$61.11B,"$7,974,485,616",7.97B USDC,61.11B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3408.svg
Dogecoin,DOGE,$0.1865,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,0.30%,4.67%,3.40%,$27.91B,"$915,213,151",4.90B DOGE,149.58B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/74.svg
TRON,TRX,$0.2794,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,0.31%,0.16%,3.87%,$26.51B,"$393,953,431",1.40B TRX,94.85B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1958.svg
Cardano,ADA,$0.6684,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,0.22%,1.17%,1.43%,$23.63B,"$495,029,205",740.50M ADA,35.34B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2010.svg
Hyperliquid,HYPE,$34.13,https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,0.41%,2.14%,4.28%,$11.4B,"$208,070,270",6.09M HYPE,333.92M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/32196.svg
Sui,SUI,$3.27,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,0.08%,3.50%,2.11%,$11.13B,"$808,537,745",246.86M SUI,3.39B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/20947.svg
Chainlink,LINK,$14.03,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,0.13%,5.65%,0.44%,$9.22B,"$305,421,037",21.76M LINK,657.09M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1975.svg
Avalanche,AVAX,$20.82,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,0.78%,6.74%,0.44%,$8.78B,"$325,127,058",15.61M AVAX,421.75M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5805.svg
UNUS SED LEO,LEO,$9.13,https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,0.24%,2.48%,4.24%,$8.43B,"$3,749,000",410.57K LEO,923.28M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3957.svg
Stellar,XLM,$0.2668,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,0.14%,1.37%,0.36%,$8.32B,"$97,414,557",365.01M XLM,31.18B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/512.svg
Bitcoin Cash,BCH,$409.41,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,0.34%,5.64%,0.78%,$8.14B,"$314,186,260",767.40K BCH,19.88M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1831.svg
Toncoin,TON,$3.19,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,0.15%,1.49%,3.04%,$7.89B,"$178,638,346",55.94M TON,2.46B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11419.svg
Shiba Inu,SHIB,$0.00001285,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,0.02%,2.20%,1.86%,$7.57B,"$120,252,975",9.38T SHIB,589.24T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5994.svg
Hedera,HBAR,$0.1700,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,0.12%,1.91%,2.79%,$7.18B,"$95,737,597",564.65M HBAR,42.23B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4642.svg
Litecoin,LTC,$88.56,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,0.20%,3.52%,1.82%,$6.73B,"$309,031,051",3.49M LTC,75.93M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2.svg
Polkadot,DOT,$4.04,https://s2.coinmarketcap.com/static/cloud/img/logo/polkadot/Polkadot_Logo_Animation_64x64.gif,0.09%,2.43%,0.61%,$6.42B,"$134,646,235",33.37M DOT,1.58B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6636.svg
Monero,XMR,$328.46,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,0.04%,0.99%,0.29%,$6.06B,"$93,233,914",284.36K XMR,18.44M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/328.svg
Ethena USDe,USDe,$1.00,https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,0.01%,0.01%,0.03%,$5.88B,"$67,964,356",67.88M USDe,5.87B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/29470.svg
Bitget Token,BGB,$4.68,https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,0.33%,1.59%,1.29%,$5.48B,"$35,190,180",7.52M BGB,1.16B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11092.svg
Dai,DAI,$0.9999,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,0.01%,0.01%,0.02%,$5.37B,"$17,900,708,062",17.90B DAI,5.36B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4943.svg
Pepe,PEPE,$0.00001145,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,0.31%,2.45%,1.52%,$4.82B,"$773,325,628",67.50T PEPE,420.68T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/24478.svg
Pi,PI,$0.6271,https://s2.coinmarketcap.com/static/img/coins/64x64/35697.png,0.12%,1.30%,1.47%,$4.62B,"$49,002,629",78.13M PI,7.37B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/35697.svg
Uniswap,UNI,$6.21,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,0.52%,3.32%,1.95%,$3.91B,"$199,733,686",32.13M UNI,628.68M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7083.svg
Aave,AAVE,$253.63,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,0.10%,1.75%,1.01%,$3.84B,"$229,279,641",903.97K AAVE,15.15M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7278.svg
Bittensor,TAO,$378.46,https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,0.12%,2.38%,6.64%,$3.33B,"$84,628,216",223.60K TAO,8.8M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/22974.svg
OKB,OKB,$51.83,https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,0.41%,2.97%,3.24%,$3.11B,"$6,958,234",134.23K OKB,60M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3897.svg
NEAR Protocol,NEAR,$2.44,https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,0.83%,5.68%,0.11%,$2.99B,"$101,024,053",41.24M NEAR,1.22B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6535.svg
Aptos,APT,$4.73,https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,0.11%,1.53%,0.24%,$2.99B,"$77,086,367",16.29M APT,631.39M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/21794.svg
Cronos,CRO,$0.09723,https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,0.12%,2.07%,7.42%,$2.91B,"$19,263,828",198.10M CRO,29.87B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3635.svg
Internet Computer,ICP,$5.13,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,0.35%,2.34%,6.37%,$2.74B,"$54,146,070",10.53M ICP,534.06M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8916.svg
